number,value,datetime_start,datetime_complete,duration,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_REBALANCE_FREQ,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,state
81,-0.578969099929025,2026-05-08 11:23:04.530493,2026-05-08 11:23:04.809075,0 days 00:00:00.278582,3,0.05,0.01,0.6,0.08,50,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
82,-0.5749687272496626,2026-05-08 11:23:04.823798,2026-05-08 11:23:04.969468,0 days 00:00:00.145670,3,0.05,0.02,0.3,0.08,50,20,0.8,,,,,PRUNED
83,-0.5986362602015844,2026-05-08 11:23:04.983341,2026-05-08 11:23:05.351334,0 days 00:00:00.367993,3,0.03,0.01,0.3,0.08,50,20,0.5,,,,,PRUNED
84,-0.5975526404445798,2026-05-08 11:23:05.368865,2026-05-08 11:23:05.539967,0 days 00:00:00.171102,3,0.03,0.02,0.6,0.08,50,20,0.5,,,,,PRUNED
85,-0.5889750732331619,2026-05-08 11:23:05.557701,2026-05-08 11:23:05.720650,0 days 00:00:00.162949,2,0.05,0.02,0.6,0.12,30,20,0.5,,,,,PRUNED
86,-0.5808079879707687,2026-05-08 11:23:05.737806,2026-05-08 11:23:05.994063,0 days 00:00:00.256257,2,0.05,0.01,0.6,0.08,50,20,0.5,-0.4564140742633455,0.0038146902157996337,0.2487878274148463,0.4602287644791451,COMPLETE
87,-0.578969099929025,2026-05-08 11:23:06.006716,2026-05-08 11:23:06.252971,0 days 00:00:00.246255,3,0.05,0.02,0.6,0.08,50,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
88,-0.578969099929025,2026-05-08 11:23:06.269497,2026-05-08 11:23:06.546026,0 days 00:00:00.276529,3,0.05,0.01,0.6,0.08,50,20,0.65,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
89,-0.5931245265228606,2026-05-08 11:23:06.564782,2026-05-08 11:23:06.728849,0 days 00:00:00.164067,3,0.05,0.02,0.3,0.08,30,5,0.5,,,,,PRUNED
90,-0.5957511125305064,2026-05-08 11:23:06.741030,2026-05-08 11:23:06.925916,0 days 00:00:00.184886,3,0.05,0.01,0.6,0.08,30,10,0.65,,,,,PRUNED
91,-0.6081213510976907,2026-05-08 11:23:06.942861,2026-05-08 11:23:07.123439,0 days 00:00:00.180578,3,0.05,0.01,0.6,0.12,50,5,0.5,,,,,PRUNED
92,-0.578969099929025,2026-05-08 11:23:07.138971,2026-05-08 11:23:07.374196,0 days 00:00:00.235225,3,0.05,0.01,0.6,0.08,20,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
93,-0.6245311439559214,2026-05-08 11:23:07.388163,2026-05-08 11:23:07.532410,0 days 00:00:00.144247,3,0.05,0.01,0.6,0.08,10,10,0.5,,,,,PRUNED
94,-0.5975526404445798,2026-05-08 11:23:07.545172,2026-05-08 11:23:07.680698,0 days 00:00:00.135526,3,0.03,0.02,0.6,0.08,30,20,0.8,,,,,PRUNED
95,-0.5901101001234356,2026-05-08 11:23:07.696021,2026-05-08 11:23:07.839748,0 days 00:00:00.143727,3,0.05,0.02,0.6,0.12,30,20,0.5,,,,,PRUNED
96,-0.6090566335893609,2026-05-08 11:23:07.852062,2026-05-08 11:23:07.986608,0 days 00:00:00.134546,3,0.05,0.01,0.45,0.16,50,20,0.5,,,,,PRUNED
97,-0.5975526404445798,2026-05-08 11:23:07.999729,2026-05-08 11:23:08.134100,0 days 00:00:00.134371,3,0.03,0.01,0.6,0.08,30,20,0.5,,,,,PRUNED
98,-0.5901101001234356,2026-05-08 11:23:08.149107,2026-05-08 11:23:08.287402,0 days 00:00:00.138295,3,0.05,0.01,0.6,0.12,20,20,0.8,,,,,PRUNED
99,-0.5749687272496626,2026-05-08 11:23:08.300284,2026-05-08 11:23:08.437617,0 days 00:00:00.137333,3,0.05,0.02,0.3,0.08,30,20,0.5,,,,,PRUNED
100,-0.5749687272496626,2026-05-08 11:23:08.449026,2026-05-08 11:23:08.577326,0 days 00:00:00.128300,3,0.05,0.01,0.3,0.08,50,20,0.5,,,,,PRUNED
101,-0.578969099929025,2026-05-08 11:23:08.596785,2026-05-08 11:23:08.845449,0 days 00:00:00.248664,3,0.05,0.01,0.6,0.08,50,20,0.8,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
102,-0.578969099929025,2026-05-08 11:23:08.862718,2026-05-08 11:23:09.087220,0 days 00:00:00.224502,3,0.05,0.01,0.6,0.08,20,20,0.8,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
103,-0.5928193994794824,2026-05-08 11:23:09.100471,2026-05-08 11:23:09.237238,0 days 00:00:00.136767,3,0.05,0.02,0.6,0.08,20,5,0.5,,,,,PRUNED
104,-0.5957511125305064,2026-05-08 11:23:09.250553,2026-05-08 11:23:09.384835,0 days 00:00:00.134282,3,0.05,0.01,0.6,0.08,50,10,0.8,,,,,PRUNED
105,-0.574873306442636,2026-05-08 11:23:09.398981,2026-05-08 11:23:09.529206,0 days 00:00:00.130225,3,0.05,0.01,0.45,0.08,50,20,0.8,,,,,PRUNED
106,-0.6134232157352639,2026-05-08 11:23:09.543063,2026-05-08 11:23:09.673676,0 days 00:00:00.130613,2,0.03,0.01,0.6,0.08,20,5,0.5,,,,,PRUNED
107,-0.578969099929025,2026-05-08 11:23:09.686736,2026-05-08 11:23:09.921500,0 days 00:00:00.234764,3,0.05,0.01,0.6,0.08,30,20,0.8,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
