number,value,datetime_start,datetime_complete,duration,params_BEAR_GRID_MAX_LAYER_CAP,params_BEAR_GRID_MODE,params_BEAR_RATIO,params_BEAR_UNIVERSE_MODE,params_BULL_RATIO,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_MIN_ANCHORS_IN_POOL,params_NEUTRAL_RATIO,params_REBALANCE_FREQ,params_UNIVERSE_MODE,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,user_attrs_validation_error,state
65,-0.31605091683366315,2026-05-14 00:30:14.124828,2026-05-14 00:32:30.888194,0 days 00:02:16.763366,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.12,3,1,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
66,-0.42831131900780317,2026-05-14 00:32:30.912321,2026-05-14 00:34:44.564277,0 days 00:02:13.651956,0,NO_NET_ADD,0.45,SAME,0.7,2,0.03,0.02,0.6,0.12,3,1,0.5,5,WIDE_V2,0.65,-0.08848618389406028,0.012581026350592907,0.6796502702274858,0.10106721024465319,,COMPLETE
67,-0.31605091683366315,2026-05-14 00:34:44.586520,2026-05-14 00:34:45.056447,0 days 00:00:00.469927,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,3,1,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
68,-0.45451335012938543,2026-05-14 00:34:45.076295,2026-05-14 00:37:15.177516,0 days 00:02:30.101221,1,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.02,0.6,0.12,5,1,0.5,5,WIDE_V2,0.5,-0.09442418055358116,0.03720437922114604,0.7201783391516086,0.1316285597747272,,COMPLETE
69,0.0011975743607967396,2026-05-14 00:37:15.202146,2026-05-14 00:38:10.200585,0 days 00:00:54.998439,0,CAP_LAYER,0.35,ETF_DEFENSIVE,0.7,2,0.03,0.02,0.3,0.12,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
70,0.15677363496302815,2026-05-14 00:38:10.227295,2026-05-14 00:39:26.651373,0 days 00:01:16.424078,0,CAP_LAYER,0.25,SAME,0.7,2,0.03,0.02,0.6,0.16,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
71,-0.006249507618309537,2026-05-14 00:39:26.674573,2026-05-14 00:40:19.128340,0 days 00:00:52.453767,0,NO_NET_ADD,0.35,ETF_DEFENSIVE,0.7,2,0.03,0.01,0.6,0.12,3,2,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
72,-0.31605091683366315,2026-05-14 00:40:19.152271,2026-05-14 00:40:19.757353,0 days 00:00:00.605082,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,1,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
73,0.20506801188399862,2026-05-14 00:40:19.781881,2026-05-14 00:41:35.583044,0 days 00:01:15.801163,0,NO_NET_ADD,0.45,SAME,0.7,4,0.05,0.01,0.3,0.12,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
74,-0.03169413910195332,2026-05-14 00:41:35.607051,2026-05-14 00:41:59.772992,0 days 00:00:24.165941,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.12,3,1,0.5,20,WIDE_V2,0.5,,,,,,PRUNED
75,0.19761153669716314,2026-05-14 00:41:59.797592,2026-05-14 00:43:16.414063,0 days 00:01:16.616471,0,CAP_LAYER,0.35,SAME,0.8,2,0.03,0.01,0.3,0.12,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
76,0.20719633298727433,2026-05-14 00:43:16.436585,2026-05-14 00:44:36.363119,0 days 00:01:19.926534,0,CAP_LAYER,0.45,SAME,0.7,3,0.03,0.01,0.3,0.12,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
77,-0.43817106899904773,2026-05-14 00:44:36.389978,2026-05-14 00:44:45.329343,0 days 00:00:08.939365,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,1,0.5,10,ANCHOR_SATELLITE,0.5,,,,,,PRUNED
78,-9999.0,2026-05-14 00:44:45.353113,2026-05-14 00:44:45.735177,0 days 00:00:00.382064,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.02,0.6,0.12,8,1,0.7,5,WIDE_V2,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
